Sequence Name	Match Sequence in Negative Strand	Percentage Matching	Match Type(0~Absolute,1~Partial(stop),2~Partial(start),3~Over absolute)	Prediction Confidence	R-Statistic	Length
NC_002528_326958+327020	NC_002528_326753+327439	100.00%	0	98.000%	0.000000	63
NC_002528_335680+335742	NC_002528_333143+335872	100.00%	0	82.000%	0.000000	63
NC_002528_341780+341842	NC_002528_342877-341201	100.00%	0	64.000%	0.000000	63
NC_002528_349467+349529	NC_002528_349274+351034	100.00%	0	98.000%	0.000000	63
NC_002528_351761+351823	NC_002528_351833-351045	100.00%	0	100.000%	0.000000	63
NC_002528_378779+378841	NC_002528_377500+379131	100.00%	0	84.000%	0.000000	63
NC_002528_393115+393177	NC_002528_393843-392443	100.00%	0	80.000%	0.000000	63
NC_002528_401053+401115	NC_002528_401544-400570	100.00%	0	94.000%	0.000000	63
NC_002528_410563+410625	NC_002528_411167-409362	100.00%	0	96.000%	0.000000	63
NC_002528_413277+413339	NC_002528_413578-411548	100.00%	0	96.000%	0.000000	63
NC_002528_417554+417616	NC_002528_418225-415631	100.00%	0	96.000%	0.000000	63
NC_002528_430199+430261	NC_002528_430292-429864	100.00%	0	86.000%	0.000000	63
NC_002528_431001+431063	NC_002528_430544+431701	100.00%	0	72.000%	0.000000	63
NC_002528_434542+434604	NC_002528_434133+434846	100.00%	0	88.000%	0.000000	63
NC_002528_436080+436142	NC_002528_436827-435376	100.00%	0	92.000%	0.000000	63
NC_002528_443851+443913	NC_002528_443616+445121	100.00%	0	92.000%	0.000000	63
NC_002528_444712+444774	NC_002528_443616+445121	100.00%	0	100.000%	0.000000	63
NC_002528_445576+445638	NC_002528_446404-445268	100.00%	0	90.000%	0.000000	63
NC_002528_450132+450194	NC_002528_449495+451210	100.00%	0	90.000%	0.000000	63
NC_002528_508374+508436	NC_002528_508106+508537	100.00%	0	90.000%	0.000000	63
NC_002528_520227+520289	NC_002528_519898+520524	100.00%	0	84.000%	0.000000	63
NC_002528_529582+529644	NC_002528_529164+530936	100.00%	0	80.000%	0.000000	63
NC_002528_575130+575192	NC_002528_575671-574967	100.00%	0	86.000%	0.000000	63
NC_002528_577785+577847	NC_002528_578588-576996	100.00%	0	100.000%	0.000000	63
NC_002528_581352+581414	NC_002528_581393-580878	66.67%	2	92.000%	0.000000	63
NC_002528_59064+59126	NC_002528_60773-58935	100.00%	0	88.000%	0.000000	63
NC_002528_591732+591794	NC_002528_591503+591811	100.00%	0	100.000%	0.000000	63
NC_002528_632061+632123	NC_002528_633493-631640	100.00%	0	94.000%	0.000000	63
NC_002528_66558+66620	NC_002528_66272+67516	100.00%	0	94.000%	0.000000	63
NC_002528_77900+77962	NC_002528_77074+78711	100.00%	0	98.000%	0.000000	63
NC_002528_8600+8662	NC_002528_8421+8837	100.00%	0	96.000%	0.000000	63
NC_002528_93684+93746	NC_002528_94241-93393	100.00%	0	96.000%	0.000000	63
NC_002528_120133+120198	NC_002528_119894+120538	100.00%	0	74.000%	0.000000	66
NC_002528_131604+131669	NC_002528_130460+132388	100.00%	0	88.000%	0.000000	66
NC_002528_133957+134022	NC_002528_133809+134798	100.00%	0	96.000%	0.000000	66
NC_002528_13456+13521	NC_002528_13849-12554	100.00%	0	96.000%	0.000000	66
NC_002528_150359+150424	NC_002528_152939-149700	100.00%	0	92.000%	0.000000	66
NC_002528_15907+15972	NC_002528_15011+16609	100.00%	0	92.000%	0.000000	66
NC_002528_163235+163300	NC_002528_164119-162206	100.00%	0	86.000%	0.000000	66
NC_002528_18563+18628	NC_002528_18376+18666	100.00%	0	96.000%	0.000000	66
NC_002528_227630+227695	NC_002528_226513+227703	100.00%	0	96.000%	0.000000	66
NC_002528_255174+255239	NC_002528_255311-254517	100.00%	0	98.000%	0.000000	66
NC_002528_280207+280272	NC_002528_280279-279980	100.00%	0	88.000%	0.000000	66
NC_002528_28972+29037	NC_002528_29223-27844	100.00%	0	88.000%	0.000000	66
NC_002528_303345+303410	NC_002528_303926-302760	100.00%	0	96.000%	0.000000	66
NC_002528_306057+306122	NC_002528_306334-305306	100.00%	0	80.000%	0.000000	66
NC_002528_306157+306222	NC_002528_306334-305306	100.00%	0	90.000%	0.000000	66
NC_002528_312382+312447	NC_002528_312883-312083	100.00%	0	96.000%	0.000000	66
NC_002528_330490+330555	NC_002528_330620-330105	100.00%	0	92.000%	0.000000	66
NC_002528_341718+341783	NC_002528_342877-341201	100.00%	0	92.000%	0.000000	66
NC_002528_349926+349991	NC_002528_349274+351034	100.00%	0	80.000%	0.000000	66
NC_002528_351064+351129	NC_002528_351833-351045	100.00%	0	96.000%	0.000000	66
NC_002528_36414+36479	NC_002528_40460-36321	100.00%	0	94.000%	0.000000	66
NC_002528_365448+365513	NC_002528_366117-365056	100.00%	0	88.000%	0.000000	66
NC_002528_385839+385904	NC_002528_385670+385912	100.00%	0	92.000%	0.000000	66
NC_002528_389778+389843	NC_002528_388523+389956	100.00%	0	86.000%	0.000000	66
NC_002528_391660+391725	NC_002528_392303-391155	100.00%	0	88.000%	0.000000	66
NC_002528_393189+393254	NC_002528_393843-392443	100.00%	0	100.000%	0.000000	66
NC_002528_400690+400755	NC_002528_401544-400570	100.00%	0	82.000%	0.000000	66
NC_002528_400752+400817	NC_002528_401544-400570	100.00%	0	92.000%	0.000000	66
NC_002528_4013+4078	NC_002528_3982+4515	100.00%	0	90.000%	0.000000	66
NC_002528_403722+403787	NC_002528_404468-401601	100.00%	0	88.000%	0.000000	66
NC_002528_41350+41415	NC_002528_44650-40622	100.00%	0	72.000%	0.000000	66
NC_002528_508873+508938	NC_002528_510418-508592	100.00%	0	88.000%	0.000000	66
NC_002528_52501+52566	NC_002528_52362+53366	100.00%	0	54.000%	0.000000	66
NC_002528_537218+537283	NC_002528_538184-536790	100.00%	0	94.000%	0.000000	66
NC_002528_537894+537959	NC_002528_538184-536790	100.00%	0	86.000%	0.000000	66
NC_002528_558432+558497	NC_002528_558612-558310	100.00%	0	92.000%	0.000000	66
NC_002528_563320+563385	NC_002528_563937-561787	100.00%	0	88.000%	0.000000	66
NC_002528_571557+571622	NC_002528_571850-571164	100.00%	0	88.000%	0.000000	66
NC_002528_600598+600663	NC_002528_601342-600110	100.00%	0	82.000%	0.000000	66
NC_002528_601477+601542	NC_002528_602395-601487	84.85%	1	98.000%	0.000000	66
NC_002528_603252+603317	NC_002528_604187-602433	100.00%	0	100.000%	0.000000	66
NC_002528_616216+616281	NC_002528_616638-615562	100.00%	0	86.000%	0.000000	66
NC_002528_622230+622295	NC_002528_622312-621227	100.00%	0	100.000%	0.000000	66
NC_002528_67098+67163	NC_002528_66272+67516	100.00%	0	86.000%	0.000000	66
NC_002528_102295+102363	NC_002528_102988-101924	100.00%	0	80.000%	0.000000	69
NC_002528_11209+11277	NC_002528_11322-8911	100.00%	0	88.000%	0.000000	69
NC_002528_12641+12709	NC_002528_13849-12554	100.00%	0	78.000%	0.000000	69
NC_002528_130941+131009	NC_002528_130460+132388	100.00%	0	82.000%	0.000000	69
NC_002528_162357+162425	NC_002528_164119-162206	100.00%	0	92.000%	0.000000	69
NC_002528_166054+166122	NC_002528_165615+167459	100.00%	0	78.000%	0.000000	69
NC_002528_17696+17764	NC_002528_16648+18009	100.00%	0	86.000%	0.000000	69
NC_002528_192697+192765	NC_002528_193136-192006	100.00%	0	88.000%	0.000000	69
NC_002528_209632+209700	NC_002528_211696-209246	100.00%	0	86.000%	0.000000	69
NC_002528_215856+215924	NC_002528_215390+216190	100.00%	0	90.000%	0.000000	69
NC_002528_248620+248688	NC_002528_248814-248338	100.00%	0	84.000%	0.000000	69
NC_002528_250495+250563	NC_002528_250534-248819	57.97%	2	88.000%	0.000000	69
NC_002528_262356+262424	NC_002528_260969+262822	100.00%	0	82.000%	0.000000	69
NC_002528_279732+279800	NC_002528_279317+279901	100.00%	0	54.000%	0.000000	69
NC_002528_28902+28970	NC_002528_29223-27844	100.00%	0	82.000%	0.000000	69
NC_002528_312698+312766	NC_002528_312883-312083	100.00%	0	94.000%	0.000000	69
NC_002528_320060+320128	NC_002528_320146-319115	100.00%	0	82.000%	0.000000	69
NC_002528_351692+351760	NC_002528_351833-351045	100.00%	0	72.000%	0.000000	69
NC_002528_368470+368538	NC_002528_368052+369104	100.00%	0	90.000%	0.000000	69
NC_002528_391183+391251	NC_002528_392303-391155	100.00%	0	84.000%	0.000000	69
NC_002528_396859+396927	NC_002528_396651+398756	100.00%	0	82.000%	0.000000	69
NC_002528_40712+40780	NC_002528_44650-40622	100.00%	0	84.000%	0.000000	69
NC_002528_411939+412007	NC_002528_413578-411548	100.00%	0	88.000%	0.000000	69
NC_002528_417049+417117	NC_002528_418225-415631	100.00%	0	82.000%	0.000000	69
NC_002528_419052+419120	NC_002528_419733-418243	100.00%	0	72.000%	0.000000	69
NC_002528_43894+43962	NC_002528_44650-40622	100.00%	0	80.000%	0.000000	69
NC_002528_505078+505146	NC_002528_504321+505400	100.00%	0	88.000%	0.000000	69
NC_002528_523159+523227	NC_002528_522104+524437	100.00%	0	84.000%	0.000000	69
NC_002528_557248+557316	NC_002528_557601-557176	100.00%	0	66.000%	0.000000	69
NC_002528_557696+557764	NC_002528_558295-557474	100.00%	0	84.000%	0.000000	69
NC_002528_56143+56211	NC_002528_55473+56852	100.00%	0	78.000%	0.000000	69
NC_002528_56530+56598	NC_002528_55473+56852	100.00%	0	90.000%	0.000000	69
NC_002528_614001+614069	NC_002528_612698+614029	42.03%	2	78.000%	0.000000	69
NC_002528_615725+615793	NC_002528_616638-615562	100.00%	0	80.000%	0.000000	69
NC_002528_618440+618508	NC_002528_618626-618288	100.00%	0	90.000%	0.000000	69
NC_002528_636549+636617	NC_002528_636239+638074	100.00%	0	80.000%	0.000000	69
NC_002528_81109+81177	NC_002528_80316+81719	100.00%	0	76.000%	0.000000	69
NC_002528_91520+91588	NC_002528_91575+92915	20.29%	1	86.000%	0.000000	69
NC_002528_98622+98690	NC_002528_96845+98842	100.00%	0	84.000%	0.000000	69
NC_002528_132960+133031	NC_002528_133018+133215	19.44%	1	88.000%	0.000000	72
NC_002528_149649+149720	NC_002528_152939-149700	29.17%	1	80.000%	0.000000	72
NC_002528_152730+152801	NC_002528_152939-149700	100.00%	0	92.000%	0.000000	72
NC_002528_160061+160132	NC_002528_160425-159484	100.00%	0	94.000%	0.000000	72
NC_002528_163150+163221	NC_002528_164119-162206	100.00%	0	84.000%	0.000000	72
NC_002528_163442+163513	NC_002528_164119-162206	100.00%	0	78.000%	0.000000	72
NC_002528_164067+164138	NC_002528_164119-162206	73.61%	2	84.000%	0.000000	72
NC_002528_182968+183039	NC_002528_183326-182379	100.00%	0	88.000%	0.000000	72
NC_002528_196970+197041	NC_002528_198054-195562	100.00%	0	90.000%	0.000000	72
NC_002528_206140+206211	NC_002528_205836+206924	100.00%	0	88.000%	0.000000	72
NC_002528_259697+259768	NC_002528_258691+259887	100.00%	0	78.000%	0.000000	72
NC_002528_271867+271938	NC_002528_273612-271888	70.83%	1	80.000%	0.000000	72
NC_002528_285979+286050	NC_002528_286312-284480	100.00%	0	62.000%	0.000000	72
NC_002528_321034+321105	NC_002528_320225+321511	100.00%	0	68.000%	0.000000	72
NC_002528_32275+32346	NC_002528_31191+33467	100.00%	0	70.000%	0.000000	72
NC_002528_342079+342150	NC_002528_342877-341201	100.00%	0	80.000%	0.000000	72
NC_002528_389052+389123	NC_002528_388523+389956	100.00%	0	90.000%	0.000000	72
NC_002528_39758+39829	NC_002528_40460-36321	100.00%	0	90.000%	0.000000	72
NC_002528_447853+447924	NC_002528_447363+448124	100.00%	0	88.000%	0.000000	72
NC_002528_522795+522866	NC_002528_522104+524437	100.00%	0	72.000%	0.000000	72
NC_002528_549339+549410	NC_002528_549464-549108	100.00%	0	76.000%	0.000000	72
NC_002528_55139+55210	NC_002528_54190+55401	100.00%	0	62.000%	0.000000	72
NC_002528_577042+577113	NC_002528_578588-576996	100.00%	0	88.000%	0.000000	72
NC_002528_582592+582663	NC_002528_582063+583460	100.00%	0	68.000%	0.000000	72
NC_002528_590461+590532	NC_002528_591504-590182	100.00%	0	66.000%	0.000000	72
NC_002528_591327+591398	NC_002528_591504-590182	100.00%	0	94.000%	0.000000	72
NC_002528_600796+600867	NC_002528_601342-600110	100.00%	0	90.000%	0.000000	72
NC_002528_619760+619831	NC_002528_621076-619604	100.00%	0	80.000%	0.000000	72
NC_002528_620910+620981	NC_002528_621076-619604	100.00%	0	88.000%	0.000000	72
NC_002528_631076+631147	NC_002528_631592-630120	100.00%	0	78.000%	0.000000	72
NC_002528_9556+9627	NC_002528_11322-8911	100.00%	0	82.000%	0.000000	72
NC_002528_150595+150669	NC_002528_152939-149700	100.00%	0	82.000%	0.000000	75
NC_002528_157489+157563	NC_002528_159467-156645	100.00%	0	86.000%	0.000000	75
NC_002528_169022+169096	NC_002528_167967+169301	100.00%	0	64.000%	0.000000	75
NC_002528_193135+193209	NC_002528_193136-192006	2.67%	2	74.000%	0.000000	75
NC_002528_199489+199563	NC_002528_199753-199160	100.00%	0	72.000%	0.000000	75
NC_002528_204051+204125	NC_002528_204243-203578	100.00%	0	84.000%	0.000000	75
NC_002528_213073+213147	NC_002528_213756-212899	100.00%	0	90.000%	0.000000	75
NC_002528_234480+234554	NC_002528_235102-233846	100.00%	0	90.000%	0.000000	75
NC_002528_244355+244429	NC_002528_245217-243724	100.00%	0	88.000%	0.000000	75
NC_002528_260056+260130	NC_002528_259980+260735	100.00%	0	88.000%	0.000000	75
NC_002528_287400+287474	NC_002528_286436+287614	100.00%	0	66.000%	0.000000	75
NC_002528_303460+303534	NC_002528_303926-302760	100.00%	0	86.000%	0.000000	75
NC_002528_308866+308940	NC_002528_308534+309358	100.00%	0	78.000%	0.000000	75
NC_002528_319619+319693	NC_002528_320146-319115	100.00%	0	60.000%	0.000000	75
NC_002528_346071+346145	NC_002528_346151-345066	100.00%	0	64.000%	0.000000	75
NC_002528_351554+351628	NC_002528_351833-351045	100.00%	0	78.000%	0.000000	75
NC_002528_36316+36390	NC_002528_40460-36321	93.33%	1	90.000%	0.000000	75
NC_002528_36916+36990	NC_002528_40460-36321	100.00%	0	66.000%	0.000000	75
NC_002528_371466+371540	NC_002528_371399+372109	100.00%	0	86.000%	0.000000	75
NC_002528_37832+37906	NC_002528_40460-36321	100.00%	0	86.000%	0.000000	75
NC_002528_404961+405035	NC_002528_406044-404545	100.00%	0	86.000%	0.000000	75
NC_002528_415626+415700	NC_002528_418225-415631	93.33%	1	76.000%	0.000000	75
NC_002528_436378+436452	NC_002528_436827-435376	100.00%	0	86.000%	0.000000	75
NC_002528_44649+44723	NC_002528_44650-40622	2.67%	2	68.000%	0.000000	75
NC_002528_464785+464859	NC_002528_466181-464376	100.00%	0	80.000%	0.000000	75
NC_002528_508740+508814	NC_002528_510418-508592	100.00%	0	86.000%	0.000000	75
NC_002528_51575+51649	NC_002528_52201-51056	100.00%	0	86.000%	0.000000	75
NC_002528_558122+558196	NC_002528_558295-557474	100.00%	0	94.000%	0.000000	75
NC_002528_561828+561902	NC_002528_563937-561787	100.00%	0	78.000%	0.000000	75
NC_002528_572874+572948	NC_002528_573825-572734	100.00%	0	90.000%	0.000000	75
NC_002528_590291+590365	NC_002528_591504-590182	100.00%	0	96.000%	0.000000	75
NC_002528_593471+593545	NC_002528_594103-593354	100.00%	0	76.000%	0.000000	75
NC_002528_602115+602189	NC_002528_602395-601487	100.00%	0	90.000%	0.000000	75
NC_002528_627041+627115	NC_002528_627455-626196	100.00%	0	86.000%	0.000000	75
NC_002528_634443+634517	NC_002528_633980+635194	100.00%	0	90.000%	0.000000	75
NC_002528_75273+75347	NC_002528_74771+76174	100.00%	0	84.000%	0.000000	75
NC_002528_91199+91273	NC_002528_91381-90833	100.00%	0	92.000%	0.000000	75
NC_002528_120998+121075	NC_002528_120586+121629	100.00%	0	96.000%	0.000000	78
NC_002528_121233+121310	NC_002528_120586+121629	100.00%	0	98.000%	0.000000	78
NC_002528_197815+197892	NC_002528_198054-195562	100.00%	0	94.000%	0.000000	78
NC_002528_201469+201546	NC_002528_201252+202130	100.00%	0	92.000%	0.000000	78
NC_002528_207062+207139	NC_002528_208289-207000	100.00%	0	84.000%	0.000000	78
NC_002528_212991+213068	NC_002528_213756-212899	100.00%	0	90.000%	0.000000	78
NC_002528_225854+225931	NC_002528_223819+226482	100.00%	0	94.000%	0.000000	78
NC_002528_242507+242584	NC_002528_243727-242360	100.00%	0	98.000%	0.000000	78
NC_002528_249557+249634	NC_002528_250534-248819	100.00%	0	90.000%	0.000000	78
NC_002528_285222+285299	NC_002528_286312-284480	100.00%	0	96.000%	0.000000	78
NC_002528_291422+291499	NC_002528_291466+293415	43.59%	1	74.000%	0.000000	78
NC_002528_341853+341930	NC_002528_342877-341201	100.00%	0	86.000%	0.000000	78
NC_002528_352312+352389	NC_002528_352607-351891	100.00%	0	96.000%	0.000000	78
NC_002528_366931+367008	NC_002528_367777-366242	100.00%	0	78.000%	0.000000	78
NC_002528_371215+371292	NC_002528_370977+371387	100.00%	0	82.000%	0.000000	78
NC_002528_372436+372513	NC_002528_372150+373376	100.00%	0	68.000%	0.000000	78
NC_002528_39131+39208	NC_002528_40460-36321	100.00%	0	94.000%	0.000000	78
NC_002528_405312+405389	NC_002528_406044-404545	100.00%	0	84.000%	0.000000	78
NC_002528_410422+410499	NC_002528_411167-409362	100.00%	0	98.000%	0.000000	78
NC_002528_410866+410943	NC_002528_411167-409362	100.00%	0	100.000%	0.000000	78
NC_002528_413497+413574	NC_002528_413578-411548	100.00%	0	94.000%	0.000000	78
NC_002528_423589+423666	NC_002528_424186-422351	100.00%	0	94.000%	0.000000	78
NC_002528_468742+468819	NC_002528_468780-466372	50.00%	2	90.000%	0.000000	78
NC_002528_468983+469060	NC_002528_468931+469575	100.00%	0	98.000%	0.000000	78
NC_002528_471941+472018	NC_002528_471487+473310	100.00%	0	88.000%	0.000000	78
NC_002528_52870+52947	NC_002528_52362+53366	100.00%	0	92.000%	0.000000	78
NC_002528_543862+543939	NC_002528_544230-543652	100.00%	0	92.000%	0.000000	78
NC_002528_554503+554580	NC_002528_554700-554386	100.00%	0	94.000%	0.000000	78
NC_002528_559010+559087	NC_002528_559214-558609	100.00%	0	94.000%	0.000000	78
NC_002528_564022+564099	NC_002528_564492-564010	100.00%	0	98.000%	0.000000	78
NC_002528_62530+62607	NC_002528_62674-60941	100.00%	0	96.000%	0.000000	78
NC_002528_95020+95097	NC_002528_94494+95600	100.00%	0	94.000%	0.000000	78
NC_002528_112868+112948	NC_002528_111628+113034	100.00%	0	96.000%	0.000000	81
NC_002528_163506+163586	NC_002528_164119-162206	100.00%	0	80.000%	0.000000	81
NC_002528_232180+232260	NC_002528_232400-232056	100.00%	0	100.000%	0.000000	81
NC_002528_23222+23302	NC_002528_23520-22945	100.00%	0	100.000%	0.000000	81
NC_002528_239209+239289	NC_002528_239836-238775	100.00%	0	92.000%	0.000000	81
NC_002528_243+323	NC_002528_197+2083	100.00%	0	92.000%	0.000000	81
NC_002528_310109+310189	NC_002528_309445+312030	100.00%	0	88.000%	0.000000	81
NC_002528_34286+34366	NC_002528_35167-33590	100.00%	0	82.000%	0.000000	81
NC_002528_350709+350789	NC_002528_349274+351034	100.00%	0	54.000%	0.000000	81
NC_002528_37471+37551	NC_002528_40460-36321	100.00%	0	94.000%	0.000000	81
NC_002528_401361+401441	NC_002528_401544-400570	100.00%	0	94.000%	0.000000	81
NC_002528_40233+40313	NC_002528_40460-36321	100.00%	0	94.000%	0.000000	81
NC_002528_408268+408348	NC_002528_407526+408371	100.00%	0	86.000%	0.000000	81
NC_002528_412463+412543	NC_002528_413578-411548	100.00%	0	98.000%	0.000000	81
NC_002528_417263+417343	NC_002528_418225-415631	100.00%	0	98.000%	0.000000	81
NC_002528_463628+463708	NC_002528_464376-462667	100.00%	0	88.000%	0.000000	81
NC_002528_505596+505676	NC_002528_505439+505921	100.00%	0	96.000%	0.000000	81
NC_002528_547637+547717	NC_002528_548020-547031	100.00%	0	98.000%	0.000000	81
NC_002528_577149+577229	NC_002528_578588-576996	100.00%	0	94.000%	0.000000	81
NC_002528_577748+577828	NC_002528_578588-576996	100.00%	0	96.000%	0.000000	81
NC_002528_640386+640466	NC_002528_640441-639860	69.14%	2	94.000%	0.000000	81
NC_002528_124899+124982	NC_002528_123653+125776	100.00%	0	98.000%	0.000000	84
NC_002528_152846+152929	NC_002528_152939-149700	100.00%	0	76.000%	0.000000	84
NC_002528_197675+197758	NC_002528_198054-195562	100.00%	0	86.000%	0.000000	84
NC_002528_219300+219383	NC_002528_218774+221401	100.00%	0	92.000%	0.000000	84
NC_002528_231455+231538	NC_002528_231992-231294	100.00%	0	86.000%	0.000000	84
NC_002528_241312+241395	NC_002528_242366-241293	100.00%	0	92.000%	0.000000	84
NC_002528_330108+330191	NC_002528_330620-330105	100.00%	0	90.000%	0.000000	84
NC_002528_339190+339273	NC_002528_339155+339946	100.00%	0	92.000%	0.000000	84
NC_002528_360822+360905	NC_002528_360644+361309	100.00%	0	70.000%	0.000000	84
NC_002528_417095+417178	NC_002528_418225-415631	100.00%	0	88.000%	0.000000	84
NC_002528_43310+43393	NC_002528_44650-40622	100.00%	0	98.000%	0.000000	84
NC_002528_456179+456262	NC_002528_456822-456109	100.00%	0	92.000%	0.000000	84
NC_002528_498875+498958	NC_002528_497500+500772	100.00%	0	92.000%	0.000000	84
NC_002528_509057+509140	NC_002528_510418-508592	100.00%	0	88.000%	0.000000	84
NC_002528_561332+561415	NC_002528_561719-560535	100.00%	0	94.000%	0.000000	84
NC_002528_587610+587693	NC_002528_587706-586987	100.00%	0	84.000%	0.000000	84
NC_002528_593229+593312	NC_002528_593310-592846	97.62%	2	88.000%	0.000000	84
NC_002528_59412+59495	NC_002528_60773-58935	100.00%	0	90.000%	0.000000	84
NC_002528_636663+636746	NC_002528_636239+638074	100.00%	0	92.000%	0.000000	84
NC_002528_93470+93553	NC_002528_94241-93393	100.00%	0	86.000%	0.000000	84
NC_002528_117631+117717	NC_002528_117204+117830	100.00%	0	60.000%	0.000000	87
NC_002528_130295+130381	NC_002528_129211+130308	16.09%	2	94.000%	0.000000	87
NC_002528_206722+206808	NC_002528_205836+206924	100.00%	0	76.000%	0.000000	87
NC_002528_27107+27193	NC_002528_27810-25945	100.00%	0	96.000%	0.000000	87
