Sequence Name	Match Sequence in Positive Strand	Percentage Matching	Match Type(0~Absolute,1~Partial(stop),2~Partial(start),3~Over absolute)	Prediction Confidence	R-Statistic	Length
NC_002528_340223-340164	NC_002528_340722-339955	100.00%	0	84.000%	0.000000	60
NC_002528_342234-342175	NC_002528_342877-341201	100.00%	0	96.000%	0.000000	60
NC_002528_361265-361206	NC_002528_360644+361309	100.00%	0	94.000%	0.000000	60
NC_002528_368709-368650	NC_002528_368052+369104	100.00%	0	90.000%	0.000000	60
NC_002528_380647-380588	NC_002528_382004-379296	100.00%	0	94.000%	0.000000	60
NC_002528_388389-388330	NC_002528_387632+388426	100.00%	0	94.000%	0.000000	60
NC_002528_399766-399707	NC_002528_398776+400566	100.00%	0	88.000%	0.000000	60
NC_002528_41010-40951	NC_002528_44650-40622	100.00%	0	90.000%	0.000000	60
NC_002528_421857-421798	NC_002528_422131-420797	100.00%	0	96.000%	0.000000	60
NC_002528_427026-426967	NC_002528_426253+427503	100.00%	0	88.000%	0.000000	60
NC_002528_439509-439450	NC_002528_439198+439938	100.00%	0	94.000%	0.000000	60
NC_002528_445650-445591	NC_002528_446404-445268	100.00%	0	94.000%	0.000000	60
NC_002528_450986-450927	NC_002528_449495+451210	100.00%	0	94.000%	0.000000	60
NC_002528_451793-451734	NC_002528_451312+453021	100.00%	0	92.000%	0.000000	60
NC_002528_451902-451843	NC_002528_451312+453021	100.00%	0	96.000%	0.000000	60
NC_002528_485323-485264	NC_002528_483881+486460	100.00%	0	96.000%	0.000000	60
NC_002528_50475-50416	NC_002528_50166+51044	100.00%	0	84.000%	0.000000	60
NC_002528_507784-507725	NC_002528_507446+508069	100.00%	0	94.000%	0.000000	60
NC_002528_523517-523458	NC_002528_522104+524437	100.00%	0	88.000%	0.000000	60
NC_002528_525087-525028	NC_002528_524579+526450	100.00%	0	98.000%	0.000000	60
NC_002528_538108-538049	NC_002528_538184-536790	100.00%	0	92.000%	0.000000	60
NC_002528_558159-558100	NC_002528_558295-557474	100.00%	0	94.000%	0.000000	60
NC_002528_569929-569870	NC_002528_568906+570072	100.00%	0	88.000%	0.000000	60
NC_002528_57348-57289	NC_002528_56934+57368	100.00%	0	96.000%	0.000000	60
NC_002528_586706-586647	NC_002528_585850+586980	100.00%	0	92.000%	0.000000	60
NC_002528_60691-60632	NC_002528_60773-58935	100.00%	0	72.000%	0.000000	60
NC_002528_83051-82992	NC_002528_82834+83331	100.00%	0	90.000%	0.000000	60
NC_002528_84452-84393	NC_002528_84332+84733	100.00%	0	94.000%	0.000000	60
NC_002528_88577-88518	NC_002528_87905+90817	100.00%	0	96.000%	0.000000	60
NC_002528_90501-90442	NC_002528_87905+90817	100.00%	0	94.000%	0.000000	60
NC_002528_101146-101084	NC_002528_101348-100464	100.00%	0	92.000%	0.000000	63
NC_002528_10634-10572	NC_002528_11322-8911	100.00%	0	88.000%	0.000000	63
NC_002528_10883-10821	NC_002528_11322-8911	100.00%	0	84.000%	0.000000	63
NC_002528_109345-109283	NC_002528_109133+109873	100.00%	0	92.000%	0.000000	63
NC_002528_132301-132239	NC_002528_130460+132388	100.00%	0	74.000%	0.000000	63
NC_002528_136007-135945	NC_002528_134808+137195	100.00%	0	92.000%	0.000000	63
NC_002528_147747-147685	NC_002528_147405+148229	100.00%	0	92.000%	0.000000	63
NC_002528_154534-154472	NC_002528_155135-154326	100.00%	0	82.000%	0.000000	63
NC_002528_164034-163972	NC_002528_164119-162206	100.00%	0	80.000%	0.000000	63
NC_002528_165190-165128	NC_002528_164880+165566	100.00%	0	76.000%	0.000000	63
NC_002528_167210-167148	NC_002528_165615+167459	100.00%	0	76.000%	0.000000	63
NC_002528_167360-167298	NC_002528_165615+167459	100.00%	0	78.000%	0.000000	63
NC_002528_178690-178628	NC_002528_177979+179439	100.00%	0	84.000%	0.000000	63
NC_002528_18647-18585	NC_002528_18376+18666	100.00%	0	90.000%	0.000000	63
NC_002528_219790-219728	NC_002528_218774+221401	100.00%	0	62.000%	0.000000	63
NC_002528_225042-224980	NC_002528_223819+226482	100.00%	0	88.000%	0.000000	63
NC_002528_228509-228447	NC_002528_227748+229169	100.00%	0	82.000%	0.000000	63
NC_002528_259525-259463	NC_002528_258691+259887	100.00%	0	82.000%	0.000000	63
NC_002528_292444-292382	NC_002528_291466+293415	100.00%	0	88.000%	0.000000	63
NC_002528_32779-32717	NC_002528_31191+33467	100.00%	0	80.000%	0.000000	63
NC_002528_33753-33691	NC_002528_35167-33590	100.00%	0	86.000%	0.000000	63
NC_002528_362113-362051	NC_002528_362522-361710	100.00%	0	74.000%	0.000000	63
NC_002528_368221-368159	NC_002528_368052+369104	100.00%	0	78.000%	0.000000	63
NC_002528_371508-371446	NC_002528_371399+372109	100.00%	0	76.000%	0.000000	63
NC_002528_376740-376678	NC_002528_375942+377099	100.00%	0	92.000%	0.000000	63
NC_002528_382376-382314	NC_002528_382339+383283	60.32%	1	90.000%	0.000000	63
NC_002528_385265-385203	NC_002528_384859+385593	100.00%	0	90.000%	0.000000	63
NC_002528_388017-387955	NC_002528_387632+388426	100.00%	0	84.000%	0.000000	63
NC_002528_388799-388737	NC_002528_388523+389956	100.00%	0	90.000%	0.000000	63
NC_002528_389432-389370	NC_002528_388523+389956	100.00%	0	88.000%	0.000000	63
NC_002528_394790-394728	NC_002528_395190-393991	100.00%	0	74.000%	0.000000	63
NC_002528_398647-398585	NC_002528_396651+398756	100.00%	0	92.000%	0.000000	63
NC_002528_399181-399119	NC_002528_398776+400566	100.00%	0	88.000%	0.000000	63
NC_002528_402634-402572	NC_002528_404468-401601	100.00%	0	78.000%	0.000000	63
NC_002528_407843-407781	NC_002528_407526+408371	100.00%	0	74.000%	0.000000	63
NC_002528_409287-409225	NC_002528_408889+409275	80.95%	2	74.000%	0.000000	63
NC_002528_415112-415050	NC_002528_415185-414247	100.00%	0	78.000%	0.000000	63
NC_002528_436247-436185	NC_002528_436827-435376	100.00%	0	86.000%	0.000000	63
NC_002528_450634-450572	NC_002528_449495+451210	100.00%	0	78.000%	0.000000	63
NC_002528_458889-458827	NC_002528_459220-457799	100.00%	0	78.000%	0.000000	63
NC_002528_471534-471472	NC_002528_471487+473310	76.19%	1	84.000%	0.000000	63
NC_002528_472384-472322	NC_002528_471487+473310	100.00%	0	88.000%	0.000000	63
NC_002528_480845-480783	NC_002528_480151+480945	100.00%	0	84.000%	0.000000	63
NC_002528_491152-491090	NC_002528_490715+491887	100.00%	0	68.000%	0.000000	63
NC_002528_497746-497684	NC_002528_497500+500772	100.00%	0	70.000%	0.000000	63
NC_002528_509100-509038	NC_002528_510418-508592	100.00%	0	90.000%	0.000000	63
NC_002528_511077-511015	NC_002528_511324-510476	100.00%	0	92.000%	0.000000	63
NC_002528_518330-518268	NC_002528_517985+518299	50.79%	2	84.000%	0.000000	63
NC_002528_562997-562935	NC_002528_563937-561787	100.00%	0	74.000%	0.000000	63
NC_002528_566891-566829	NC_002528_566940-566176	100.00%	0	72.000%	0.000000	63
NC_002528_570101-570039	NC_002528_568906+570072	53.97%	2	78.000%	0.000000	63
NC_002528_576397-576335	NC_002528_576938-575715	100.00%	0	74.000%	0.000000	63
NC_002528_578631-578569	NC_002528_578588-576996	31.75%	2	90.000%	0.000000	63
NC_002528_597192-597130	NC_002528_597694-595499	100.00%	0	92.000%	0.000000	63
NC_002528_602103-602041	NC_002528_602395-601487	100.00%	0	74.000%	0.000000	63
NC_002528_622698-622636	NC_002528_623410-622493	100.00%	0	84.000%	0.000000	63
NC_002528_632289-632227	NC_002528_633493-631640	100.00%	0	86.000%	0.000000	63
NC_002528_67289-67227	NC_002528_66272+67516	100.00%	0	78.000%	0.000000	63
NC_002528_92450-92388	NC_002528_91575+92915	100.00%	0	78.000%	0.000000	63
NC_002528_108160-108095	NC_002528_107630+108538	100.00%	0	92.000%	0.000000	66
NC_002528_108412-108347	NC_002528_107630+108538	100.00%	0	90.000%	0.000000	66
NC_002528_11102-11037	NC_002528_11322-8911	100.00%	0	80.000%	0.000000	66
NC_002528_123227-123162	NC_002528_122941+123573	100.00%	0	84.000%	0.000000	66
NC_002528_141734-141669	NC_002528_142260-140188	100.00%	0	78.000%	0.000000	66
NC_002528_144413-144348	NC_002528_143868+144713	100.00%	0	82.000%	0.000000	66
NC_002528_152293-152228	NC_002528_152939-149700	100.00%	0	86.000%	0.000000	66
NC_002528_15266-15201	NC_002528_15011+16609	100.00%	0	62.000%	0.000000	66
NC_002528_15721-15656	NC_002528_15011+16609	100.00%	0	86.000%	0.000000	66
NC_002528_208096-208031	NC_002528_208289-207000	100.00%	0	66.000%	0.000000	66
NC_002528_232971-232906	NC_002528_233788-232634	100.00%	0	78.000%	0.000000	66
NC_002528_236452-236387	NC_002528_237671-236217	100.00%	0	84.000%	0.000000	66
NC_002528_264543-264478	NC_002528_262859+266344	100.00%	0	86.000%	0.000000	66
NC_002528_290944-290879	NC_002528_290497+291279	100.00%	0	66.000%	0.000000	66
NC_002528_298386-298321	NC_002528_299698-298238	100.00%	0	68.000%	0.000000	66
NC_002528_302437-302372	NC_002528_302741-301932	100.00%	0	82.000%	0.000000	66
NC_002528_308048-307983	NC_002528_307521+308273	100.00%	0	84.000%	0.000000	66
NC_002528_317418-317353	NC_002528_316735+317988	100.00%	0	82.000%	0.000000	66
NC_002528_320705-320640	NC_002528_320225+321511	100.00%	0	82.000%	0.000000	66
NC_002528_330535-330470	NC_002528_330620-330105	100.00%	0	78.000%	0.000000	66
NC_002528_342762-342697	NC_002528_342877-341201	100.00%	0	78.000%	0.000000	66
NC_002528_344716-344651	NC_002528_344999-343716	100.00%	0	62.000%	0.000000	66
NC_002528_344959-344894	NC_002528_344999-343716	100.00%	0	74.000%	0.000000	66
NC_002528_346502-346437	NC_002528_347473-346190	100.00%	0	66.000%	0.000000	66
NC_002528_357149-357084	NC_002528_355650+357125	63.64%	2	82.000%	0.000000	66
NC_002528_385369-385304	NC_002528_384859+385593	100.00%	0	90.000%	0.000000	66
NC_002528_403026-402961	NC_002528_404468-401601	100.00%	0	82.000%	0.000000	66
NC_002528_406552-406487	NC_002528_406304+407320	100.00%	0	78.000%	0.000000	66
NC_002528_432802-432737	NC_002528_431883+433238	100.00%	0	80.000%	0.000000	66
NC_002528_471580-471515	NC_002528_471487+473310	100.00%	0	92.000%	0.000000	66
NC_002528_475882-475817	NC_002528_475637+476383	100.00%	0	92.000%	0.000000	66
NC_002528_483116-483051	NC_002528_482902+483777	100.00%	0	88.000%	0.000000	66
NC_002528_483502-483437	NC_002528_482902+483777	100.00%	0	64.000%	0.000000	66
NC_002528_507252-507187	NC_002528_506960+507403	100.00%	0	92.000%	0.000000	66
NC_002528_514406-514341	NC_002528_514806-514189	100.00%	0	82.000%	0.000000	66
NC_002528_533743-533678	NC_002528_533111+534985	100.00%	0	80.000%	0.000000	66
NC_002528_573071-573006	NC_002528_573825-572734	100.00%	0	80.000%	0.000000	66
NC_002528_591293-591228	NC_002528_591504-590182	100.00%	0	90.000%	0.000000	66
NC_002528_599815-599750	NC_002528_600113-599175	100.00%	0	84.000%	0.000000	66
NC_002528_60571-60506	NC_002528_60773-58935	100.00%	0	76.000%	0.000000	66
NC_002528_613919-613854	NC_002528_612698+614029	100.00%	0	86.000%	0.000000	66
NC_002528_7948-7883	NC_002528_6997+8394	100.00%	0	86.000%	0.000000	66
NC_002528_80736-80671	NC_002528_80316+81719	100.00%	0	92.000%	0.000000	66
NC_002528_81152-81087	NC_002528_80316+81719	100.00%	0	72.000%	0.000000	66
NC_002528_1224-1156	NC_002528_197+2083	100.00%	0	86.000%	0.000000	69
NC_002528_125730-125662	NC_002528_123653+125776	100.00%	0	82.000%	0.000000	69
NC_002528_13254-13186	NC_002528_13849-12554	100.00%	0	66.000%	0.000000	69
NC_002528_166112-166044	NC_002528_165615+167459	100.00%	0	80.000%	0.000000	69
NC_002528_171946-171878	NC_002528_169395+172115	100.00%	0	92.000%	0.000000	69
NC_002528_192508-192440	NC_002528_193136-192006	100.00%	0	74.000%	0.000000	69
NC_002528_211659-211591	NC_002528_211696-209246	100.00%	0	80.000%	0.000000	69
NC_002528_291539-291471	NC_002528_291466+293415	100.00%	0	96.000%	0.000000	69
NC_002528_317663-317595	NC_002528_316735+317988	100.00%	0	90.000%	0.000000	69
NC_002528_329376-329308	NC_002528_328764+329774	100.00%	0	90.000%	0.000000	69
NC_002528_342573-342505	NC_002528_342877-341201	100.00%	0	92.000%	0.000000	69
NC_002528_354439-354371	NC_002528_355403-353925	100.00%	0	90.000%	0.000000	69
NC_002528_380422-380354	NC_002528_382004-379296	100.00%	0	82.000%	0.000000	69
NC_002528_425289-425221	NC_002528_425425-424946	100.00%	0	86.000%	0.000000	69
NC_002528_444183-444115	NC_002528_443616+445121	100.00%	0	90.000%	0.000000	69
NC_002528_513078-513010	NC_002528_513844-512987	100.00%	0	92.000%	0.000000	69
NC_002528_523415-523347	NC_002528_522104+524437	100.00%	0	86.000%	0.000000	69
NC_002528_52433-52365	NC_002528_52362+53366	100.00%	0	78.000%	0.000000	69
NC_002528_525509-525441	NC_002528_524579+526450	100.00%	0	86.000%	0.000000	69
NC_002528_532361-532293	NC_002528_531210+532316	34.78%	2	84.000%	0.000000	69
NC_002528_544353-544285	NC_002528_544750-544277	100.00%	0	82.000%	0.000000	69
NC_002528_603418-603350	NC_002528_604187-602433	100.00%	0	86.000%	0.000000	69
NC_002528_608325-608257	NC_002528_609208-607559	100.00%	0	90.000%	0.000000	69
NC_002528_617063-616995	NC_002528_616608+617105	100.00%	0	74.000%	0.000000	69
NC_002528_64433-64365	NC_002528_64839-64192	100.00%	0	88.000%	0.000000	69
NC_002528_94886-94818	NC_002528_94494+95600	100.00%	0	78.000%	0.000000	69
NC_002528_100948-100877	NC_002528_101348-100464	100.00%	0	74.000%	0.000000	72
NC_002528_108997-108926	NC_002528_108538+109128	100.00%	0	78.000%	0.000000	72
NC_002528_123778-123707	NC_002528_123653+125776	100.00%	0	90.000%	0.000000	72
NC_002528_130588-130517	NC_002528_130460+132388	100.00%	0	86.000%	0.000000	72
NC_002528_133447-133376	NC_002528_133258+133614	100.00%	0	90.000%	0.000000	72
NC_002528_136564-136493	NC_002528_134808+137195	100.00%	0	98.000%	0.000000	72
NC_002528_140987-140916	NC_002528_142260-140188	100.00%	0	76.000%	0.000000	72
NC_002528_167658-167587	NC_002528_167482+167970	100.00%	0	90.000%	0.000000	72
NC_002528_17820-17749	NC_002528_16648+18009	100.00%	0	92.000%	0.000000	72
NC_002528_206177-206106	NC_002528_205836+206924	100.00%	0	80.000%	0.000000	72
NC_002528_208791-208720	NC_002528_209225-208296	100.00%	0	94.000%	0.000000	72
NC_002528_232288-232217	NC_002528_232400-232056	100.00%	0	86.000%	0.000000	72
NC_002528_317527-317456	NC_002528_316735+317988	100.00%	0	94.000%	0.000000	72
NC_002528_325865-325794	NC_002528_325561+326760	100.00%	0	100.000%	0.000000	72
NC_002528_330896-330825	NC_002528_330827+332278	97.22%	1	82.000%	0.000000	72
NC_002528_358165-358094	NC_002528_357310+358188	100.00%	0	92.000%	0.000000	72
NC_002528_359238-359167	NC_002528_359049+360614	100.00%	0	96.000%	0.000000	72
NC_002528_377583-377512	NC_002528_377500+379131	100.00%	0	84.000%	0.000000	72
NC_002528_386247-386176	NC_002528_385983+386621	100.00%	0	84.000%	0.000000	72
NC_002528_406801-406730	NC_002528_406304+407320	100.00%	0	90.000%	0.000000	72
NC_002528_412689-412618	NC_002528_413578-411548	100.00%	0	76.000%	0.000000	72
NC_002528_416493-416422	NC_002528_418225-415631	100.00%	0	92.000%	0.000000	72
NC_002528_440637-440566	NC_002528_440103+442739	100.00%	0	76.000%	0.000000	72
NC_002528_444654-444583	NC_002528_443616+445121	100.00%	0	98.000%	0.000000	72
NC_002528_448499-448428	NC_002528_448869-448198	100.00%	0	92.000%	0.000000	72
NC_002528_496109-496038	NC_002528_494019+497231	100.00%	0	80.000%	0.000000	72
NC_002528_519103-519032	NC_002528_518435+519763	100.00%	0	98.000%	0.000000	72
NC_002528_525894-525823	NC_002528_524579+526450	100.00%	0	98.000%	0.000000	72
NC_002528_545159-545088	NC_002528_544994+545515	100.00%	0	78.000%	0.000000	72
NC_002528_57811-57740	NC_002528_57475+57903	100.00%	0	82.000%	0.000000	72
NC_002528_592524-592453	NC_002528_592193+592834	100.00%	0	92.000%	0.000000	72
NC_002528_61419-61348	NC_002528_62674-60941	100.00%	0	96.000%	0.000000	72
NC_002528_634291-634220	NC_002528_633980+635194	100.00%	0	76.000%	0.000000	72
NC_002528_63696-63625	NC_002528_63204+64214	100.00%	0	78.000%	0.000000	72
NC_002528_98263-98192	NC_002528_96845+98842	100.00%	0	70.000%	0.000000	72
NC_002528_100140-100066	NC_002528_98947+100074	12.00%	2	96.000%	0.000000	75
NC_002528_155968-155894	NC_002528_156098-155139	100.00%	0	86.000%	0.000000	75
NC_002528_229082-229008	NC_002528_227748+229169	100.00%	0	76.000%	0.000000	75
NC_002528_245453-245379	NC_002528_246957-245218	100.00%	0	86.000%	0.000000	75
NC_002528_249645-249571	NC_002528_250534-248819	100.00%	0	70.000%	0.000000	75
NC_002528_258728-258654	NC_002528_258691+259887	50.67%	1	94.000%	0.000000	75
NC_002528_263975-263901	NC_002528_262859+266344	100.00%	0	94.000%	0.000000	75
NC_002528_276057-275983	NC_002528_276550-275795	100.00%	0	88.000%	0.000000	75
NC_002528_279784-279710	NC_002528_279317+279901	100.00%	0	94.000%	0.000000	75
NC_002528_311737-311663	NC_002528_309445+312030	100.00%	0	90.000%	0.000000	75
NC_002528_311946-311872	NC_002528_309445+312030	100.00%	0	72.000%	0.000000	75
NC_002528_316429-316355	NC_002528_315434+316675	100.00%	0	92.000%	0.000000	75
NC_002528_335798-335724	NC_002528_333143+335872	100.00%	0	80.000%	0.000000	75
NC_002528_339237-339163	NC_002528_339155+339946	100.00%	0	88.000%	0.000000	75
NC_002528_355270-355196	NC_002528_355403-353925	100.00%	0	82.000%	0.000000	75
NC_002528_381730-381656	NC_002528_382004-379296	100.00%	0	84.000%	0.000000	75
NC_002528_389224-389150	NC_002528_388523+389956	100.00%	0	70.000%	0.000000	75
NC_002528_389732-389658	NC_002528_388523+389956	100.00%	0	82.000%	0.000000	75
NC_002528_400856-400782	NC_002528_401544-400570	100.00%	0	90.000%	0.000000	75
NC_002528_401111-401037	NC_002528_401544-400570	100.00%	0	72.000%	0.000000	75
NC_002528_406505-406431	NC_002528_406304+407320	100.00%	0	66.000%	0.000000	75
NC_002528_464749-464675	NC_002528_466181-464376	100.00%	0	90.000%	0.000000	75
NC_002528_493917-493843	NC_002528_493115+493960	100.00%	0	88.000%	0.000000	75
NC_002528_500951-500877	NC_002528_500778+502586	100.00%	0	68.000%	0.000000	75
NC_002528_537331-537257	NC_002528_538184-536790	100.00%	0	90.000%	0.000000	75
NC_002528_549032-548958	NC_002528_549090-548695	100.00%	0	86.000%	0.000000	75
NC_002528_632169-632095	NC_002528_633493-631640	100.00%	0	72.000%	0.000000	75
NC_002528_64134-64060	NC_002528_63204+64214	100.00%	0	82.000%	0.000000	75
NC_002528_65604-65530	NC_002528_66058-65111	100.00%	0	92.000%	0.000000	75
NC_002528_8086-8012	NC_002528_6997+8394	100.00%	0	92.000%	0.000000	75
NC_002528_111836-111759	NC_002528_111628+113034	100.00%	0	98.000%	0.000000	78
NC_002528_175532-175455	NC_002528_174514+176358	100.00%	0	80.000%	0.000000	78
NC_002528_180861-180784	NC_002528_180565+181800	100.00%	0	78.000%	0.000000	78
NC_002528_187752-187675	NC_002528_188236-187430	100.00%	0	82.000%	0.000000	78
NC_002528_231403-231326	NC_002528_231992-231294	100.00%	0	78.000%	0.000000	78
NC_002528_23764-23687	NC_002528_23651+24787	100.00%	0	92.000%	0.000000	78
NC_002528_258650-258573	NC_002528_258087+258608	46.15%	2	72.000%	0.000000	78
NC_002528_264112-264035	NC_002528_262859+266344	100.00%	0	78.000%	0.000000	78
NC_002528_285059-284982	NC_002528_286312-284480	100.00%	0	98.000%	0.000000	78
NC_002528_287801-287724	NC_002528_287650+288285	100.00%	0	94.000%	0.000000	78
NC_002528_302272-302195	NC_002528_302741-301932	100.00%	0	86.000%	0.000000	78
NC_002528_390674-390597	NC_002528_390532+390906	100.00%	0	96.000%	0.000000	78
NC_002528_410854-410777	NC_002528_411167-409362	100.00%	0	84.000%	0.000000	78
NC_002528_460626-460549	NC_002528_460960-460157	100.00%	0	72.000%	0.000000	78
NC_002528_464255-464178	NC_002528_464376-462667	100.00%	0	66.000%	0.000000	78
NC_002528_50376-50299	NC_002528_50166+51044	100.00%	0	82.000%	0.000000	78
NC_002528_513971-513894	NC_002528_514234-513872	100.00%	0	90.000%	0.000000	78
NC_002528_515841-515764	NC_002528_516791-514803	100.00%	0	88.000%	0.000000	78
NC_002528_518719-518642	NC_002528_518435+519763	100.00%	0	82.000%	0.000000	78
NC_002528_534448-534371	NC_002528_533111+534985	100.00%	0	82.000%	0.000000	78
NC_002528_567914-567837	NC_002528_568590-567364	100.00%	0	76.000%	0.000000	78
NC_002528_585975-585898	NC_002528_585850+586980	100.00%	0	82.000%	0.000000	78
NC_002528_617295-617218	NC_002528_617782-617192	100.00%	0	76.000%	0.000000	78
NC_002528_623127-623050	NC_002528_623410-622493	100.00%	0	82.000%	0.000000	78
NC_002528_628261-628184	NC_002528_630050-628113	100.00%	0	90.000%	0.000000	78
NC_002528_634091-634014	NC_002528_633980+635194	100.00%	0	70.000%	0.000000	78
NC_002528_94237-94160	NC_002528_94241-93393	100.00%	0	78.000%	0.000000	78
NC_002528_11273-11193	NC_002528_11322-8911	100.00%	0	56.000%	0.000000	81
NC_002528_117509-117429	NC_002528_117204+117830	100.00%	0	90.000%	0.000000	81
NC_002528_135656-135576	NC_002528_134808+137195	100.00%	0	76.000%	0.000000	81
NC_002528_141659-141579	NC_002528_142260-140188	100.00%	0	96.000%	0.000000	81
NC_002528_174868-174788	NC_002528_174514+176358	100.00%	0	78.000%	0.000000	81
NC_002528_185281-185201	NC_002528_184538+185623	100.00%	0	78.000%	0.000000	81
NC_002528_197744-197664	NC_002528_198054-195562	100.00%	0	56.000%	0.000000	81
NC_002528_257264-257184	NC_002528_257242+257970	28.40%	1	94.000%	0.000000	81
NC_002528_262600-262520	NC_002528_260969+262822	100.00%	0	86.000%	0.000000	81
NC_002528_262894-262814	NC_002528_260969+262822	11.11%	2	66.000%	0.000000	81
NC_002528_269425-269345	NC_002528_268530+269681	100.00%	0	86.000%	0.000000	81
NC_002528_270892-270812	NC_002528_269665+271764	100.00%	0	68.000%	0.000000	81
NC_002528_271289-271209	NC_002528_269665+271764	100.00%	0	84.000%	0.000000	81
NC_002528_28358-28278	NC_002528_29223-27844	100.00%	0	56.000%	0.000000	81
NC_002528_288596-288516	NC_002528_288324+289694	100.00%	0	90.000%	0.000000	81
NC_002528_389906-389826	NC_002528_388523+389956	100.00%	0	86.000%	0.000000	81
NC_002528_428871-428791	NC_002528_428379+429383	100.00%	0	94.000%	0.000000	81
NC_002528_432577-432497	NC_002528_431883+433238	100.00%	0	96.000%	0.000000	81
NC_002528_51675-51595	NC_002528_52201-51056	100.00%	0	70.000%	0.000000	81
NC_002528_519262-519182	NC_002528_518435+519763	100.00%	0	96.000%	0.000000	81
NC_002528_56475-56395	NC_002528_55473+56852	100.00%	0	66.000%	0.000000	81
NC_002528_569741-569661	NC_002528_568906+570072	100.00%	0	78.000%	0.000000	81
NC_002528_579730-579650	NC_002528_580265-579687	54.32%	1	72.000%	0.000000	81
NC_002528_59488-59408	NC_002528_60773-58935	100.00%	0	86.000%	0.000000	81
NC_002528_60208-60128	NC_002528_60773-58935	100.00%	0	76.000%	0.000000	81
NC_002528_613707-613627	NC_002528_612698+614029	100.00%	0	84.000%	0.000000	81
NC_002528_636610-636530	NC_002528_636239+638074	100.00%	0	92.000%	0.000000	81
NC_002528_82404-82324	NC_002528_82195+82533	100.00%	0	82.000%	0.000000	81
NC_002528_82851-82771	NC_002528_82834+83331	22.22%	1	86.000%	0.000000	81
NC_002528_102672-102589	NC_002528_102988-101924	100.00%	0	92.000%	0.000000	84
NC_002528_120229-120146	NC_002528_119894+120538	100.00%	0	68.000%	0.000000	84
NC_002528_136758-136675	NC_002528_134808+137195	100.00%	0	84.000%	0.000000	84
NC_002528_146382-146299	NC_002528_146062+147354	100.00%	0	84.000%	0.000000	84
NC_002528_149411-149328	NC_002528_149610-149125	100.00%	0	58.000%	0.000000	84
NC_002528_164616-164533	NC_002528_164454+164858	100.00%	0	68.000%	0.000000	84
NC_002528_167463-167380	NC_002528_165615+167459	95.24%	2	80.000%	0.000000	84
NC_002528_173054-172971	NC_002528_172127+173095	100.00%	0	88.000%	0.000000	84
NC_002528_175987-175904	NC_002528_174514+176358	100.00%	0	68.000%	0.000000	84
NC_002528_178052-177969	NC_002528_176455+177972	4.76%	2	84.000%	0.000000	84
